Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000176695.8	OR4F17	chr19	+	107104	117102	0.015390	8.624216	8.681226
ENSG00000282458.1	WASH5P	chr19	-	60951	71626	0.778076	311.009105	313.065006
ENSG00000282542.1	ENSG00000282542	chr19	+	68403	69178	0.193299	26.208219	26.381466
ENSG00000282798.1	ENSG00000282798	chr19	+	69167	69972	0.375931	50.970165	51.307099
ENSG00000290384.1	ENSG00000290384	chr19	-	186373	195696	0.000000	0.000000	0.000000
ENSG00000281379.3	SEPTIN14P19	chr19	-	191115	191325	0.000000	0.000000	0.000000
ENSG00000282059.1	CICP19	chr19	+	193239	195595	0.174798	23.699782	23.856448
ENSG00000267696.6	ERVK-28	chr19	-	27638483	27646483	0.439216	77.532936	78.045461
ENSG00000279882.1	ENSG00000279882	chr19	-	27639300	27639665	0.000000	0.000000	0.000000
ENSG00000261824.8	LINC00662	chr19	-	27681072	27794005	0.004715	10.469105	10.538311
ENSG00000261770.1	ENSG00000261770	chr19	-	27757184	27760849	0.061375	8.321458	8.376466
ENSG00000267575.9	LINC02987	chr19	+	27793431	27984984	0.004922	14.343549	14.438366
ENSG00000281468.1	ENSG00000281468	chr19	+	27802838	27803472	0.000000	0.000000	0.000000
ENSG00000267264.1	ENSG00000267264	chr19	+	27803538	27804060	0.000000	0.000000	0.000000
ENSG00000267323.1	SLC25A1P5	chr19	-	27805423	27806205	0.445722	60.432696	60.832182
ENSG00000266977.2	ENSG00000266977	chr19	-	27849635	27889222	0.000000	0.000000	0.000000
ENSG00000267389.2	ENSG00000267389	chr19	-	27892495	27898927	0.000000	0.000000	0.000000
ENSG00000290593.1	ENSG00000290593	chr19	+	27902595	27956684	0.000000	0.000000	0.000000
ENSG00000267768.1	ENSG00000267768	chr19	-	27908356	27908554	0.000000	0.000000	0.000000
ENSG00000267630.1	ENSG00000267630	chr19	+	27918943	27929370	0.000000	0.000000	0.000000
ENSG00000267623.4	ENSG00000267623	chr19	+	27936761	27984743	0.000000	0.000000	0.000000
ENSG00000266906.1	ENSG00000266906	chr19	-	27983032	27983332	0.000000	0.000000	0.000000
ENSG00000267509.5	ENSG00000267509	chr19	+	28065267	28125430	0.000000	0.000000	0.000000
ENSG00000266928.1	ENSG00000266928	chr19	-	28294093	28313500	0.000000	0.000000	0.000000
ENSG00000267320.5	ENSG00000267320	chr19	-	28316705	28386204	0.000000	0.000000	0.000000
ENSG00000267238.1	ENSG00000267238	chr19	-	28394851	28396428	0.000000	0.000000	0.000000
ENSG00000260725.1	ENSG00000260725	chr19	-	28418483	28429490	0.000000	0.000000	0.000000
ENSG00000283403.1	ENSG00000283403	chr19	-	28435388	28727680	0.000000	0.000000	0.000000
ENSG00000267243.6	ENSG00000267243	chr19	-	28437060	28535277	0.000000	0.000000	0.000000
ENSG00000266893.1	ENSG00000266893	chr19	-	28491864	28632728	0.000000	0.000000	0.000000
ENSG00000267423.1	ENSG00000267423	chr19	+	28509238	28518728	0.000000	0.000000	0.000000
ENSG00000267537.1	ENSG00000267537	chr19	-	28602379	28648303	0.000000	0.000000	0.000000
ENSG00000266976.3	ENSG00000266976	chr19	+	28606688	28615229	0.000000	0.000000	0.000000
ENSG00000283269.2	ENSG00000283269	chr19	-	28683071	28724989	0.000000	0.000000	0.000000
ENSG00000290606.1	ENSG00000290606	chr19	-	28704249	28727777	0.000000	0.000000	0.000000
ENSG00000267799.1	MAN1A2P1	chr19	-	28790812	28792871	0.000000	0.000000	0.000000
ENSG00000267617.2	ENSG00000267617	chr19	+	28869507	28879176	0.000000	0.000000	0.000000
ENSG00000267339.8	LINC00906	chr19	+	28883430	28970874	0.000000	0.000000	0.000000
ENSG00000267683.1	ENSG00000267683	chr19	+	28892931	28895949	0.000000	0.000000	0.000000
ENSG00000267027.1	ENSG00000267027	chr19	-	28949437	28950200	0.000000	0.000000	0.000000
ENSG00000267240.1	ENSG00000267240	chr19	-	28960506	28964943	0.000000	0.000000	0.000000
ENSG00000252272.1	RNA5SP470	chr19	+	29001670	29001775	0.000000	0.000000	0.000000
ENSG00000267014.6	LINC01532	chr19	+	29002319	29015160	0.000000	0.000000	0.000000
ENSG00000288017.1	ENSG00000288017	chr19	-	29083094	29093031	0.000000	0.000000	0.000000
ENSG00000169021.6	UQCRFS1	chr19	-	29205320	29213151	1.223915	165.943084	167.040037
ENSG00000267498.2	UQCRFS1-DT	chr19	+	29213235	29216604	0.000000	0.000000	0.000000
ENSG00000276251.1	ENSG00000276251	chr19	+	29220864	29221666	0.000000	0.000000	0.000000
ENSG00000276631.1	ENSG00000276631	chr19	+	29222542	29223137	0.000000	0.000000	0.000000
ENSG00000241604.3	RN7SL340P	chr19	-	29233090	29233385	0.000000	0.000000	0.000000
ENSG00000287272.1	ENSG00000287272	chr19	+	29268976	29298576	0.000000	0.000000	0.000000
ENSG00000264515.7	VSTM2B-DT	chr19	-	29287011	29525752	0.000000	0.000000	0.000000
ENSG00000267574.1	ENSG00000267574	chr19	+	29448038	29448380	0.000000	0.000000	0.000000
ENSG00000266248.1	ENSG00000266248	chr19	-	29489775	29526948	0.000000	0.000000	0.000000
ENSG00000279387.1	ENSG00000279387	chr19	-	29506966	29509041	0.000000	0.000000	0.000000
ENSG00000187135.8	VSTM2B	chr19	+	29525994	29564551	0.000000	0.000000	0.000000
ENSG00000105171.10	POP4	chr19	+	29606283	29617237	0.366337	107.053603	107.761272
ENSG00000166289.6	PLEKHF1	chr19	+	29665459	29675477	0.000000	0.000000	0.000000
ENSG00000131943.20	C19orf12	chr19	-	29698937	29715789	0.365121	67.565219	68.011853
ENSG00000289030.1	ENSG00000289030	chr19	+	29715305	29716067	0.000000	0.000000	0.000000
ENSG00000286867.1	ENSG00000286867	chr19	-	29775504	29781216	0.000000	0.000000	0.000000
ENSG00000105173.14	CCNE1	chr19	+	29811991	29824312	0.518895	88.761311	89.348060
ENSG00000286538.1	ENSG00000286538	chr19	-	29838532	29841818	0.000000	0.000000	0.000000
ENSG00000267433.1	ENSG00000267433	chr19	-	29901696	29901869	0.000000	0.000000	0.000000
ENSG00000278895.1	ENSG00000278895	chr19	+	29915862	29917830	0.096834	13.129125	13.215914
ENSG00000267258.1	PPIAP58	chr19	+	29921182	29921653	46.557203	6312.403926	6354.131554
ENSG00000105176.18	URI1	chr19	+	29923644	30016612	0.200050	252.953601	254.625730
ENSG00000242100.2	RPL9P32	chr19	-	29956369	29956988	145.602558	19741.352563	19871.851152
ENSG00000267006.1	ENSG00000267006	chr19	-	30028741	30029916	0.000000	0.000000	0.000000
ENSG00000267692.1	TAF9P3	chr19	+	30037285	30037411	0.905512	122.772786	123.584365
ENSG00000266910.2	ENSG00000266910	chr19	+	30037423	30038181	1.683794	228.295241	229.804367
ENSG00000287859.1	ENSG00000287859	chr19	+	30058229	30060797	0.000000	0.000000	0.000000
ENSG00000288072.1	ENSG00000288072	chr19	+	30078133	30085893	0.000000	0.000000	0.000000
ENSG00000261400.1	ENSG00000261400	chr19	-	31588040	31595720	0.000000	0.000000	0.000000
ENSG00000267465.7	THEG5	chr19	+	31588159	31593786	0.000000	0.000000	0.000000
ENSG00000252780.1	RNA5SP471	chr19	-	31655356	31655461	0.000000	0.000000	0.000000
ENSG00000201894.1	RNU6-967P	chr19	-	31787148	31787255	0.000000	0.000000	0.000000
ENSG00000267489.5	LINC01837	chr19	-	31797666	32072113	0.000000	0.000000	0.000000
ENSG00000267779.7	LINC01533	chr19	+	32025808	32073809	0.000000	0.000000	0.000000
ENSG00000267204.1	LINC01782	chr19	-	32102088	32105916	0.000000	0.000000	0.000000
ENSG00000267133.2	ENSG00000267133	chr19	+	32103154	32106544	0.000000	0.000000	0.000000
ENSG00000286041.1	ENSG00000286041	chr19	-	32127334	32184504	0.000000	0.000000	0.000000
ENSG00000288790.1	ENSG00000288790	chr19	+	32206057	32222484	0.000000	0.000000	0.000000
ENSG00000200738.1	RNA5SP472	chr19	-	32243965	32244083	0.000000	0.000000	0.000000
ENSG00000168813.17	ZNF507	chr19	+	32345594	32387667	0.130706	25.812992	25.983627
ENSG00000267213.4	DPY19L3-DT	chr19	-	32390050	32405560	0.000000	0.000000	0.000000
ENSG00000178904.19	DPY19L3	chr19	+	32405543	32485895	0.237045	68.569624	69.022898
ENSG00000105185.12	PDCD5	chr19	+	32581190	32587453	1.477152	727.756244	732.567017
ENSG00000105186.16	ANKRD27	chr19	-	32597006	32676597	0.428590	104.797895	105.490653
ENSG00000201388.1	SNORA68B	chr19	-	32608337	32608469	0.000000	0.000000	0.000000
ENSG00000242325.1	RPS12P31	chr19	+	32636078	32636475	0.000000	0.000000	0.000000
ENSG00000242436.3	RN7SL789P	chr19	-	32655016	32655308	0.000000	0.000000	0.000000
ENSG00000267557.1	ENSG00000267557	chr19	+	32666298	32673210	0.000000	0.000000	0.000000
ENSG00000186326.4	RGS9BP	chr19	+	32675848	32678300	0.000000	0.000000	0.000000
ENSG00000267475.3	NUDT19-DT	chr19	-	32686918	32691764	0.000000	0.000000	0.000000
ENSG00000213965.4	NUDT19	chr19	+	32691821	32713792	0.474057	64.274464	64.699345
ENSG00000290058.1	ENSG00000290058	chr19	-	32693041	32693529	0.000000	0.000000	0.000000
ENSG00000267567.1	ENSG00000267567	chr19	-	32718298	32719595	0.000000	0.000000	0.000000
ENSG00000173809.18	TDRD12	chr19	+	32719753	32829580	0.000000	0.000000	0.000000
ENSG00000267245.1	ENSG00000267245	chr19	-	32824142	32824505	0.000000	0.000000	0.000000
ENSG00000021488.13	SLC7A9	chr19	-	32830509	32869767	0.000000	0.000000	0.000000
ENSG00000267555.1	ENSG00000267555	chr19	+	32831295	32833168	0.000000	0.000000	0.000000
ENSG00000201967.1	RN7SKP22	chr19	-	32862800	32863092	0.000000	0.000000	0.000000
ENSG00000121289.18	CEP89	chr19	-	32875925	32971991	0.131095	29.492466	29.687424
ENSG00000239988.1	RPL31P60	chr19	+	32963499	32963865	0.000000	0.000000	0.000000
ENSG00000131944.11	FAAP24	chr19	+	32972209	32978229	0.000000	0.000000	0.000000
ENSG00000131941.8	RHPN2	chr19	-	32978592	33064888	0.000000	0.000000	0.000000
ENSG00000267611.1	ENSG00000267611	chr19	+	33051515	33051701	0.000000	0.000000	0.000000
ENSG00000267725.1	ENSG00000267725	chr19	+	33067175	33067433	0.000000	0.000000	0.000000
ENSG00000076650.7	GPATCH1	chr19	+	33080899	33130542	0.273887	52.736551	53.085162
ENSG00000166359.11	WDR88	chr19	+	33132090	33175799	0.000000	0.000000	0.000000
ENSG00000289378.1	ENSG00000289378	chr19	-	33175824	33176926	0.000000	0.000000	0.000000
ENSG00000130881.14	LRP3	chr19	+	33177603	33208864	0.000000	0.000000	0.000000
ENSG00000267054.1	ENSG00000267054	chr19	+	33178056	33178651	0.000000	0.000000	0.000000
ENSG00000273420.1	ENSG00000273420	chr19	+	33207129	33207639	0.000000	0.000000	0.000000
ENSG00000130876.11	SLC7A10	chr19	-	33208664	33225850	0.000000	0.000000	0.000000
ENSG00000267714.2	ENSG00000267714	chr19	+	33217817	33222355	0.000000	0.000000	0.000000
ENSG00000270212.1	ENSG00000270212	chr19	-	33283978	33285739	0.000000	0.000000	0.000000
ENSG00000267580.1	ENSG00000267580	chr19	+	33299934	33301168	0.000000	0.000000	0.000000
ENSG00000245848.3	CEBPA	chr19	-	33299934	33302534	0.000000	0.000000	0.000000
