#gene1	gene2	strand1(gene/fusion)	strand2(gene/fusion)	breakpoint1	breakpoint2	site1	site2	type	split_reads1	split_reads2	discordant_mates	coverage1	coverage2	confidence	reading_frame	tags	retained_protein_domains	closest_genomic_breakpoint1	closest_genomic_breakpoint2	gene_id1	gene_id2	transcript_id1	transcript_id2	direction1	direction2	filters	fusion_transcript	peptide_sequence	read_identifiers
TINCR	SAFB	-/.	+/.	chr19:5575436	chr19:5639658	intron	intron	deletion/read-through/3'-3'	0	0	0	1	2	low	.	.	.	.	.	ENSG00000223573.7	ENSG00000160633.13	.	.	downstream	upstream	mismatches	.	.	.
ZNF807P(18871),SCGB1B2P(12462)	SCGB2B2	./.	-/.	chr19:34564266	chr19:34617753	intergenic	intron	deletion/read-through	0	0	1	2	1	low	.	.	.	.	.	.	ENSG00000205209.8	.	.	downstream	upstream	min_support	.	.	.
VN1R6P(14679),ZNF845(3027)	RPL39P36	./+	+/+	chr19:53330722	chr19:53413212	intergenic	exon	deletion/read-through	0	0	0	35	36	low	.	.	.	.	.	.	ENSG00000239912.1	.	.	downstream	upstream	mismatches	.	.	.
ZNF525	RPL39P36	+/+	+/+	chr19:53386287	chr19:53413212	3'UTR	exon	deletion/read-through	0	0	0	29	36	low	.	.	.	.	.	ENSG00000203326.12	ENSG00000239912.1	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000271717	MYO1F	-/.	-/.	chr19:8232833	chr19:8558278	intron	intron	deletion/read-through	0	0	0	0	1	low	.	.	.	.	.	ENSG00000271717.1	ENSG00000142347.19	.	.	downstream	upstream	mismatches(1)	.	.	.
ZNF557	INSR	+/.	-/.	chr19:7080310	chr19:7182083	intron	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000130544.12	ENSG00000171105.14	.	.	downstream	upstream	mismatches	.	.	.
VRK3	IZUMO2	-/.	-/.	chr19:50012940	chr19:50153575	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000105053.11	ENSG00000161652.13	.	.	downstream	upstream	mismatches(1)	.	.	.
ZNF587B	ZNF135	+/.	+/.	chr19:57835490	chr19:58071251	intron	intron	deletion/read-through	0	0	0	1	3	low	.	.	.	.	.	ENSG00000269343.9	ENSG00000176293.20	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000268750	ZNF135	+/.	+/.	chr19:57835490	chr19:58071251	intron	intron	deletion/read-through	0	0	0	1	3	low	.	.	.	.	.	ENSG00000268750.7	ENSG00000176293.20	.	.	downstream	upstream	mismatches	.	.	.
ETHE1	PLAUR	-/.	-/.	chr19:43516433	chr19:43661565	intron	intron	deletion/read-through	0	0	0	1	2	low	.	.	.	.	.	ENSG00000105755.8	ENSG00000011422.12	.	.	downstream	upstream	mismatches	.	.	.
CEACAM22P	CBLC	-/.	+/.	chr19:44571325	chr19:44799543	intron	intron	deletion/read-through/3'-3'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000290603.1	ENSG00000142273.13	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000288906(1593),TLE6(25287)	TLE2	./.	-/.	chr19:2952251	chr19:3023719	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000065717.16	.	.	downstream	upstream	mismatches(1)	.	.	.
RPS15	RPS15	+/+	+/+	chr19:1440253	chr19:1440173	CDS/splice-site	CDS	duplication/ITD	0	0	0	105	111	low	.	.	.	.	.	ENSG00000115268.10	ENSG00000115268.10	.	.	downstream	upstream	hairpin(1)	.	.	.
ENSG00000291231	OLFM2	-/.	-/.	chr19:9696878	chr19:9855737	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000291231.1	ENSG00000105088.9	.	.	downstream	upstream	mismatches	.	.	.
ILF3	KANK2	+/.	-/.	chr19:10668730	chr19:11171761	intron	intron	deletion/5'-5'	0	0	0	3	2	low	.	.	.	.	.	ENSG00000129351.18	ENSG00000197256.11	.	.	downstream	upstream	mismatches(1)	.	.	.
PRR12	BCL2L12	+/.	+/.	chr19:49611874	chr19:49671398	intron	intron	deletion/read-through	0	0	0	3	1	low	.	.	.	.	.	ENSG00000126464.15	ENSG00000126453.11	.	.	downstream	upstream	mismatches(1)	.	.	.
HSD17B14	PLEKHA4	-/.	-/.	chr19:48824555	chr19:48856369	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000087076.9	ENSG00000105559.13	.	.	downstream	upstream	mismatches(1)	.	.	.
ZNF324B	ZNF324	+/+	+/+	chr19:58455787	chr19:58471572	CDS	CDS	deletion/read-through	0	0	2	4	4	low	.	.	.	.	.	ENSG00000249471.8	ENSG00000083812.13	.	.	downstream	upstream	relative_support	.	.	.
ZFR2	SH3GL1	-/.	-/.	chr19:4080275	chr19:4364853	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000105278.12	ENSG00000141985.9	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000269242	RPL10P16	-/-	-/-	chr19:12643864	chr19:12643884	3'UTR	exon	duplication	0	0	0	100	132	low	.	.	.	.	.	ENSG00000269242.1	ENSG00000178464.6	.	.	upstream	downstream	hairpin	.	.	.
ECSIT	ENSG00000289985(6750),ZNF823(19524)	-/-	./-	chr19:11511968	chr19:11701741	exon	intergenic	deletion/read-through	0	0	0	1	2	low	.	.	.	.	.	ENSG00000130159.15	.	.	.	downstream	upstream	mismatches	.	.	.
ZNF627	ENSG00000289985(6750),ZNF823(19524)	+/.	./.	chr19:11601942	chr19:11701741	intron	intergenic	deletion/read-through	0	0	0	1	2	low	.	.	.	.	.	ENSG00000198551.10	.	.	.	downstream	upstream	mismatches	.	.	.
NLRP13(6455),NLRP8(9041)	GALP	./.	+/.	chr19:55938791	chr19:56184653	intergenic	intron	deletion/read-through	0	0	0	2	2	low	.	.	.	.	.	.	ENSG00000197487.9	.	.	downstream	upstream	mismatches	.	.	.
OLFM2	RDH8	-/.	+/.	chr19:9933731	chr19:10016325	intron	intron	deletion/read-through/3'-3'	0	0	0	3	2	low	.	.	.	.	.	ENSG00000105088.9	ENSG00000080511.5	.	.	downstream	upstream	mismatches	.	.	.
CCDC194(8054),BST2(689)	NIBAN3	./+	+/+	chr19:17402250	chr19:17552713	intergenic	3'UTR	deletion/read-through	0	0	0	1	0	low	.	.	.	.	.	.	ENSG00000167483.19	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000269419(6485),NWD1(928)	CPAMD8	./.	-/.	chr19:16718919	chr19:16910265	intergenic	intron	deletion/read-through	0	0	0	2	0	low	.	.	.	.	.	.	ENSG00000160111.15	.	.	downstream	upstream	inconsistently_clipped(1)	.	.	.
PPP6R1	NLRP2	-/-	+/-	chr19:55245617	chr19:54986187	CDS	CDS	deletion/read-through/5'-5'	0	0	0	4	2	low	.	.	.	.	.	ENSG00000105063.19	ENSG00000022556.16	.	.	upstream	downstream	mismatches(1)	.	.	.
AKT2	SPTBN4	-/.	+/.	chr19:40258093	chr19:40496957	intron	intron	deletion/read-through/3'-3'	0	0	1	1	1	low	.	.	.	.	.	ENSG00000105221.18	ENSG00000160460.17	.	.	downstream	upstream	min_support	.	.	.
PDE4C	RPL39P38(15290),LSM4(5451)	-/.	./.	chr19:18215635	chr19:18300785	intron	intergenic	deletion/read-through	0	0	0	1	0	low	.	.	.	.	.	ENSG00000105650.23	.	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000285188	RPL39P38(15290),LSM4(5451)	-/.	./.	chr19:18215635	chr19:18300785	intron	intergenic	deletion/read-through	0	0	0	1	0	low	.	.	.	.	.	ENSG00000285188.1	.	.	.	downstream	upstream	mismatches	.	.	.
